product_name,SKU,Product Barcode/ASIN/EAN,price,quantity
SPIDER CATCHER PICK-UP TOOL 65CM,21035C,5038673210353,4.78,12
PRIMA RUBBER & COCO PANAMA DOOR MATS 40 X 60CM ASSORTED,22074C,5038673220741,1.77,10
PRIMA RUBBER & PP GREEKEY MOULDED DOOR MAT 40 X 60CM ASSORTED,22075C,5038673220758,1.9,10
PRIMA RUBBER & COCO MOLDED BRUSH WELCOME DOOR MAT 40 X 60CM,22076C,5038673220765,4.5,6
PRIMA RUBBER & COCO GRILL DOOR MAT 40 X 60CM,22078C,5038673220789,5.4,6
PRIMA RUBBER & COCO SEMI CIRCLE GRILL DOOR MAT 40 X 70CM,22079C,5038673220796,5.4,6
PRIMA NATURAL COCO DOOR MAT 40 X 60CM ASSORTED,22081C,5038673220819,3.55,10
PRIMA HOLLOW RUBBER DOOR MAT 40 X 60CM,22083C,5038673220833,1.77,10
PRIMA POLY ROPE PULLEY LINE 10M ASSORTED COLOURS,24050C,5038673240503,0.51,30
PRIMA POLY ROPE PULLEY LINE 15M ASSORTED COLOURS,24051C,5038673240510,0.82,30
PRIMA POLY ROPE PULLEY LINE 20M ASSORTED COLOURS,24052C,5038673240527,1.1,20
PRIMA POLY ROPE PULLEY LINE 25M ASSORTED COLOURS,24053C,5038673240534,1.3,20
PRIMA POLY ROPE PULLEY LINE 30M ASSORTED COLOURS,24054C,5038673240541,1.5,20
PRIMA STEEL CORE CLOTHESLINE 15M ASSORTED COLOURS,24061C,5038673240619,0.82,30
PRIMA PUPPY TRAINING PADS 57CM 4 PACK,41366C,5038673413662,0.89,48
PRIMA STAINLESS STEEL FLAT BBQ SKEWER 61CM X 2CM X 2.5MM,14085C,5038673140858,1.23,12
PRIMA WHITE DISPOSABLE PLASTIC BOWLS 15CM 15 PACK,12085C,5038673120850,0.66,36
PRIMA 24OZ ANTI-SLIP EMBOSSED DOG BOWL 24CM,17007C,5038673170077,1.64,12
PRIMA STAINLESS STEEL DOUBLE DINER 500ML PET BOWL SET 3PC,17275C,5038673172750,1.09,24
PRIMA SILICONE SCRAPER & BRUSH SET 2PC,18014C,5038673180144,0.68,24
PRIMA ASSORTED CLEANING BRUSHES 3PC,23320C,5038673233208,0.98,48
PRIMA STAINLESS STEEL STOCK POT SET 4PC,11041C,5038673110417,21.26,1
PRIMA STAINLESS STEEL PEDAL BIN 20L,11054C,5038673110547,16.32,2
PRIMA STAINLESS STEEL BLUE WHISTLING KETTLE 2.5L,11172C,5038673111728,5.31,3
PRIMA HEAVY DUTY ALUMINIUM PRESSURE COOKER 7L,11190C,5038673111902,21.26,3
PRIMA RED & BLACK WILD FLOWER DINNER SET 16PC,11193C,5038673111933,14.1,2
PRIMA 12OZ FOAM WHITE DISPOSABLE BOWLS 15CM 20 PACK,12103C,5038673121031,0.66,50
